,日付,合計（円）,預金・現金・仮想通貨（円）,株式(現物)（円）,ポイント（円）,年金（円）
225,2016-01-01,142645,78885,62785,75.0,900
226,2016-01-02,143278,79235,63064,75.0,904
227,2016-01-03,143911,79585,63343,75.0,908
228,2016-01-04,144544,79935,63622,75.0,912
229,2016-01-05,145177,80285,63901,75.0,916
230,2016-01-06,145810,80635,64180,75.0,920
231,2016-01-07,146443,80985,64459,75.0,924
232,2016-01-08,147076,81335,64738,75.0,928
233,2016-01-09,147709,81685,65017,75.0,932
234,2016-01-10,148342,82035,65296,75.0,936
235,2016-01-11,148975,82385,65575,75.0,940
236,2016-01-12,149608,82735,65854,75.0,944
237,2016-01-13,150241,83085,66133,75.0,948
238,2016-01-14,150874,83435,66412,75.0,952
239,2016-01-15,151507,83785,66691,75.0,956
240,2016-01-16,152140,84135,66970,75.0,960
241,2016-01-17,152773,84485,67249,75.0,964
242,2016-01-18,153406,84835,67528,75.0,968
243,2016-01-19,154039,85185,67807,75.0,972
244,2016-01-20,154672,85535,68086,75.0,976
245,2016-01-21,155305,85885,68365,75.0,980
246,2016-01-22,155938,86235,68644,75.0,984
247,2016-01-23,156571,86585,68923,75.0,988
248,2016-01-24,157204,86935,69202,75.0,992
249,2016-01-25,158337,87285,69481,575.0,996
250,2016-01-26,158970,87635,69760,575.0,1000
251,2016-01-27,159603,87985,70039,575.0,1004
252,2016-01-28,160236,88335,70318,575.0,1008
253,2016-01-29,160869,88685,70597,575.0,1012
254,2016-01-30,161502,89035,70876,575.0,1016
255,2016-01-31,162135,89385,71155,575.0,1020
256,2016-02-01,162768,89735,71434,575.0,1024
257,2016-02-02,163401,90085,71713,575.0,1028
258,2016-02-03,164034,90435,71992,575.0,1032
259,2016-02-04,164667,90785,72271,575.0,1036
260,2016-02-05,165300,91135,72550,575.0,1040
261,2016-02-06,165933,91485,72829,575.0,1044
262,2016-02-07,166566,91835,73108,575.0,1048
263,2016-02-08,167199,92185,73387,575.0,1052
264,2016-02-09,167832,92535,73666,575.0,1056
265,2016-02-10,168465,92885,73945,575.0,1060
266,2016-02-11,169098,93235,74224,575.0,1064
267,2016-02-12,169731,93585,74503,575.0,1068
268,2016-02-13,170364,93935,74782,575.0,1072
269,2016-02-14,170997,94285,75061,575.0,1076
270,2016-02-15,171630,94635,75340,575.0,1080
271,2016-02-16,172263,94985,75619,575.0,1084
272,2016-02-17,172896,95335,75898,575.0,1088
273,2016-02-18,173529,95685,76177,575.0,1092
274,2016-02-19,174162,96035,76456,575.0,1096
275,2016-02-20,174795,96385,76735,575.0,1100
276,2016-02-21,175428,96735,77014,575.0,1104
277,2016-02-22,176061,97085,77293,575.0,1108
278,2016-02-23,176694,97435,77572,575.0,1112
279,2016-02-24,177327,97785,77851,575.0,1116
280,2016-02-25,177960,98135,78130,575.0,1120
281,2016-02-26,178593,98485,78409,575.0,1124
282,2016-02-27,179226,98835,78688,575.0,1128
283,2016-02-28,179859,99185,78967,575.0,1132
284,2016-02-29,180492,99535,79246,575.0,1136
285,2016-03-01,181125,99885,79525,575.0,1140
286,2016-03-02,181758,100235,79804,575.0,1144
287,2016-03-03,182391,100585,80083,575.0,1148
288,2016-03-04,183024,100935,80362,575.0,1152
289,2016-03-05,183657,101285,80641,575.0,1156
290,2016-03-06,184290,101635,80920,575.0,1160
291,2016-03-07,184923,101985,81199,575.0,1164
292,2016-03-08,185556,102335,81478,575.0,1168
293,2016-03-09,186189,102685,81757,575.0,1172
294,2016-03-10,186822,103035,82036,575.0,1176
295,2016-03-11,187455,103385,82315,575.0,1180
296,2016-03-12,188088,103735,82594,575.0,1184
297,2016-03-13,188721,104085,82873,575.0,1188
298,2016-03-14,189354,104435,83152,575.0,1192
299,2016-03-15,189987,104785,83431,575.0,1196
300,2016-03-16,190620,105135,83710,575.0,1200
301,2016-03-17,191253,105485,83989,575.0,1204
302,2016-03-18,191886,105835,84268,575.0,1208
303,2016-03-19,192519,106185,84547,575.0,1212
304,2016-03-20,193152,106535,84826,575.0,1216
305,2016-03-21,193785,106885,85105,575.0,1220
306,2016-03-22,194418,107235,85384,575.0,1224
307,2016-03-23,195051,107585,85663,575.0,1228
308,2016-03-24,195684,107935,85942,575.0,1232
309,2016-03-25,196317,108285,86221,575.0,1236
310,2016-03-26,196950,108635,86500,575.0,1240
311,2016-03-27,197583,108985,86779,575.0,1244
312,2016-03-28,198216,109335,87058,575.0,1248
313,2016-03-29,198849,109685,87337,575.0,1252
314,2016-03-30,199482,110035,87616,575.0,1256
315,2016-03-31,200115,110385,87895,575.0,1260
316,2016-04-01,200748,110735,88174,575.0,1264
317,2016-04-02,201381,111085,88453,575.0,1268
318,2016-04-03,202014,111435,88732,575.0,1272
319,2016-04-04,202647,111785,89011,575.0,1276
320,2016-04-05,203280,112135,89290,575.0,1280
321,2016-04-06,203913,112485,89569,575.0,1284
322,2016-04-07,204546,112835,89848,575.0,1288
323,2016-04-08,205179,113185,90127,575.0,1292
324,2016-04-09,205812,113535,90406,575.0,1296
325,2016-04-10,206445,113885,90685,575.0,1300
326,2016-04-11,207078,114235,90964,575.0,1304
327,2016-04-12,207711,114585,91243,575.0,1308
328,2016-04-13,208344,114935,91522,575.0,1312
329,2016-04-14,208977,115285,91801,575.0,1316
330,2016-04-15,209610,115635,92080,575.0,1320
331,2016-04-16,210243,115985,92359,575.0,1324
332,2016-04-17,210876,116335,92638,575.0,1328
333,2016-04-18,211509,116685,92917,575.0,1332
334,2016-04-19,212142,117035,93196,575.0,1336
335,2016-04-20,212775,117385,93475,575.0,1340
336,2016-04-21,213408,117735,93754,575.0,1344
337,2016-04-22,214041,118085,94033,575.0,1348
338,2016-04-23,214674,118435,94312,575.0,1352
339,2016-04-24,215307,118785,94591,575.0,1356
340,2016-04-25,215940,119135,94870,575.0,1360
341,2016-04-26,216573,119485,95149,575.0,1364
342,2016-04-27,217206,119835,95428,575.0,1368
343,2016-04-28,217839,120185,95707,575.0,1372
344,2016-04-29,218472,120535,95986,575.0,1376
345,2016-04-30,219105,120885,96265,575.0,1380
346,2016-05-01,219738,121235,96544,575.0,1384
347,2016-05-02,220371,121585,96823,575.0,1388
348,2016-05-03,221004,121935,97102,575.0,1392
349,2016-05-04,221637,122285,97381,575.0,1396
350,2016-05-05,222270,122635,97660,575.0,1400
351,2016-05-06,222903,122985,97939,575.0,1404
352,2016-05-07,223536,123335,98218,575.0,1408
353,2016-05-08,224169,123685,98497,575.0,1412
354,2016-05-09,224802,124035,98776,575.0,1416
355,2016-05-10,225435,124385,99055,575.0,1420
356,2016-05-11,226068,124735,99334,575.0,1424
357,2016-05-12,226701,125085,99613,575.0,1428
358,2016-05-13,227334,125435,99892,575.0,1432
359,2016-05-14,227967,125785,100171,575.0,1436
360,2016-05-15,228600,126135,100450,575.0,1440
361,2016-05-16,229233,126485,100729,575.0,1444
362,2016-05-17,229866,126835,101008,575.0,1448
363,2016-05-18,230499,127185,101287,575.0,1452
364,2016-05-19,231132,127535,101566,575.0,1456
365,2016-05-20,231765,127885,101845,575.0,1460
366,2016-05-21,232398,128235,102124,575.0,1464
367,2016-05-22,233031,128585,102403,575.0,1468
368,2016-05-23,233664,128935,102682,575.0,1472
369,2016-05-24,234297,129285,102961,575.0,1476
370,2016-05-25,234930,129635,103240,575.0,1480
371,2016-05-26,235563,129985,103519,575.0,1484
372,2016-05-27,236196,130335,103798,575.0,1488
373,2016-05-28,236829,130685,104077,575.0,1492
374,2016-05-29,237462,131035,104356,575.0,1496
375,2016-05-30,238095,131385,104635,575.0,1500
376,2016-05-31,238728,131735,104914,575.0,1504
377,2016-06-01,239361,132085,105193,575.0,1508
378,2016-06-02,239994,132435,105472,575.0,1512
379,2016-06-03,240627,132785,105751,575.0,1516
380,2016-06-04,241260,133135,106030,575.0,1520
381,2016-06-05,241893,133485,106309,575.0,1524
382,2016-06-06,242526,133835,106588,575.0,1528
383,2016-06-07,243159,134185,106867,575.0,1532
384,2016-06-08,243792,134535,107146,575.0,1536
385,2016-06-09,244425,134885,107425,575.0,1540
386,2016-06-10,245058,135235,107704,575.0,1544
387,2016-06-11,245691,135585,107983,575.0,1548
388,2016-06-12,246324,135935,108262,575.0,1552
389,2016-06-13,246957,136285,108541,575.0,1556
390,2016-06-14,247590,136635,108820,575.0,1560
391,2016-06-15,248223,136985,109099,575.0,1564
392,2016-06-16,248856,137335,109378,575.0,1568
393,2016-06-17,249489,137685,109657,575.0,1572
394,2016-06-18,250122,138035,109936,575.0,1576
395,2016-06-19,250755,138385,110215,575.0,1580
396,2016-06-20,251388,138735,110494,575.0,1584
397,2016-06-21,252021,139085,110773,575.0,1588
398,2016-06-22,252654,139435,111052,575.0,1592
399,2016-06-23,253287,139785,111331,575.0,1596
400,2016-06-24,253920,140135,111610,575.0,1600
401,2016-06-25,254553,140485,111889,575.0,1604
402,2016-06-26,255186,140835,112168,575.0,1608
403,2016-06-27,255819,141185,112447,575.0,1612
404,2016-06-28,256452,141535,112726,575.0,1616
405,2016-06-29,257085,141885,113005,575.0,1620
406,2016-06-30,257718,142235,113284,575.0,1624
407,2016-07-01,258351,142585,113563,575.0,1628
408,2016-07-02,258984,142935,113842,575.0,1632
409,2016-07-03,259617,143285,114121,575.0,1636
410,2016-07-04,260250,143635,114400,575.0,1640
411,2016-07-05,260883,143985,114679,575.0,1644
412,2016-07-06,261516,144335,114958,575.0,1648
413,2016-07-07,262149,144685,115237,575.0,1652
414,2016-07-08,262782,145035,115516,575.0,1656
415,2016-07-09,263415,145385,115795,575.0,1660
416,2016-07-10,264048,145735,116074,575.0,1664
417,2016-07-11,264681,146085,116353,575.0,1668
418,2016-07-12,265314,146435,116632,575.0,1672
419,2016-07-13,265947,146785,116911,575.0,1676
420,2016-07-14,266580,147135,117190,575.0,1680
421,2016-07-15,267213,147485,117469,575.0,1684
422,2016-07-16,267846,147835,117748,575.0,1688
423,2016-07-17,268479,148185,118027,575.0,1692
424,2016-07-18,269112,148535,118306,575.0,1696
425,2016-07-19,269745,148885,118585,575.0,1700
426,2016-07-20,270378,149235,118864,575.0,1704
427,2016-07-21,271011,149585,119143,575.0,1708
428,2016-07-22,271644,149935,119422,575.0,1712
429,2016-07-23,272277,150285,119701,575.0,1716
430,2016-07-24,272910,150635,119980,575.0,1720
431,2016-07-25,273543,150985,120259,575.0,1724
432,2016-07-26,274176,151335,120538,575.0,1728
433,2016-07-27,274809,151685,120817,575.0,1732
434,2016-07-28,275442,152035,121096,575.0,1736
435,2016-07-29,276075,152385,121375,575.0,1740
436,2016-07-30,276708,152735,121654,575.0,1744
437,2016-07-31,277341,153085,121933,575.0,1748
438,2016-08-01,277974,153435,122212,575.0,1752
439,2016-08-02,278607,153785,122491,575.0,1756
440,2016-08-03,279240,154135,122770,575.0,1760
441,2016-08-04,279873,154485,123049,575.0,1764
442,2016-08-05,280506,154835,123328,575.0,1768
443,2016-08-06,281139,155185,123607,575.0,1772
444,2016-08-07,281772,155535,123886,575.0,1776
445,2016-08-08,282405,155885,124165,575.0,1780
446,2016-08-09,283038,156235,124444,575.0,1784
447,2016-08-10,283671,156585,124723,575.0,1788
448,2016-08-11,284304,156935,125002,575.0,1792
449,2016-08-12,284937,157285,125281,575.0,1796
450,2016-08-13,285570,157635,125560,575.0,1800
451,2016-08-14,286203,157985,125839,575.0,1804
452,2016-08-15,286836,158335,126118,575.0,1808
453,2016-08-16,287469,158685,126397,575.0,1812
454,2016-08-17,288102,159035,126676,575.0,1816
455,2016-08-18,288735,159385,126955,575.0,1820
456,2016-08-19,289368,159735,127234,575.0,1824
457,2016-08-20,290001,160085,127513,575.0,1828
458,2016-08-21,290634,160435,127792,575.0,1832
459,2016-08-22,291267,160785,128071,575.0,1836
460,2016-08-23,291900,161135,128350,575.0,1840
461,2016-08-24,292533,161485,128629,575.0,1844
462,2016-08-25,293166,161835,128908,575.0,1848
463,2016-08-26,293799,162185,129187,575.0,1852
464,2016-08-27,294432,162535,129466,575.0,1856
465,2016-08-28,295065,162885,129745,575.0,1860
466,2016-08-29,295698,163235,130024,575.0,1864
467,2016-08-30,296331,163585,130303,575.0,1868
468,2016-08-31,296964,163935,130582,575.0,1872
469,2016-09-01,297597,164285,130861,575.0,1876
470,2016-09-02,298155,164635,131140,500.0,1880
471,2016-09-03,298788,164985,131419,500.0,1884
472,2016-09-04,299421,165335,131698,500.0,1888
473,2016-09-05,300054,165685,131977,500.0,1892
474,2016-09-06,300687,166035,132256,500.0,1896
475,2016-09-07,301320,166385,132535,500.0,1900
476,2016-09-08,301953,166735,132814,500.0,1904
477,2016-09-09,302586,167085,133093,500.0,1908
478,2016-09-10,303219,167435,133372,500.0,1912
479,2016-09-11,303852,167785,133651,500.0,1916
480,2016-09-12,304485,168135,133930,500.0,1920
481,2016-09-13,305118,168485,134209,500.0,1924
482,2016-09-14,305751,168835,134488,500.0,1928
483,2016-09-15,306384,169185,134767,500.0,1932
484,2016-09-16,307017,169535,135046,500.0,1936
485,2016-09-17,307650,169885,135325,500.0,1940
486,2016-09-18,308283,170235,135604,500.0,1944
487,2016-09-19,308916,170585,135883,500.0,1948
488,2016-09-20,309549,170935,136162,500.0,1952
489,2016-09-21,310182,171285,136441,500.0,1956
490,2016-09-22,310815,171635,136720,500.0,1960
491,2016-09-23,311448,171985,136999,500.0,1964
492,2016-09-24,312081,172335,137278,500.0,1968
493,2016-09-25,312714,172685,137557,500.0,1972
494,2016-09-26,313347,173035,137836,500.0,1976
495,2016-09-27,313980,173385,138115,500.0,1980
496,2016-09-28,314613,173735,138394,500.0,1984
497,2016-09-29,315246,174085,138673,500.0,1988
498,2016-09-30,315879,174435,138952,500.0,1992
499,2016-10-01,316512,174785,139231,500.0,1996
500,2016-10-02,317145,175135,139510,500.0,2000
501,2016-10-03,317778,175485,139789,500.0,2004
502,2016-10-04,318411,175835,140068,500.0,2008
503,2016-10-05,319044,176185,140347,500.0,2012
504,2016-10-06,319677,176535,140626,500.0,2016
505,2016-10-07,320310,176885,140905,500.0,2020
506,2016-10-08,320943,177235,141184,500.0,2024
507,2016-10-09,321576,177585,141463,500.0,2028
508,2016-10-10,322209,177935,141742,500.0,2032
509,2016-10-11,322842,178285,142021,500.0,2036
510,2016-10-12,323475,178635,142300,500.0,2040
511,2016-10-13,324108,178985,142579,500.0,2044
512,2016-10-14,324741,179335,142858,500.0,2048
513,2016-10-15,325374,179685,143137,500.0,2052
514,2016-10-16,326007,180035,143416,500.0,2056
515,2016-10-17,326640,180385,143695,500.0,2060
516,2016-10-18,327273,180735,143974,500.0,2064
517,2016-10-19,327906,181085,144253,500.0,2068
518,2016-10-20,328539,181435,144532,500.0,2072
519,2016-10-21,329172,181785,144811,500.0,2076
520,2016-10-22,329805,182135,145090,500.0,2080
521,2016-10-23,330438,182485,145369,500.0,2084
522,2016-10-24,331071,182835,145648,500.0,2088
523,2016-10-25,331704,183185,145927,500.0,2092
524,2016-10-26,332337,183535,146206,500.0,2096
525,2016-10-27,332970,183885,146485,500.0,2100
526,2016-10-28,333603,184235,146764,500.0,2104
527,2016-10-29,334236,184585,147043,500.0,2108
528,2016-10-30,334869,184935,147322,500.0,2112
529,2016-10-31,335502,185285,147601,500.0,2116
530,2016-11-01,336135,185635,147880,500.0,2120
531,2016-11-02,336768,185985,148159,500.0,2124
532,2016-11-03,337401,186335,148438,500.0,2128
533,2016-11-04,338034,186685,148717,500.0,2132
534,2016-11-05,338667,187035,148996,500.0,2136
535,2016-11-06,339300,187385,149275,500.0,2140
536,2016-11-07,339933,187735,149554,500.0,2144
537,2016-11-08,340566,188085,149833,500.0,2148
538,2016-11-09,341199,188435,150112,500.0,2152
539,2016-11-10,341832,188785,150391,500.0,2156
540,2016-11-11,342465,189135,150670,500.0,2160
541,2016-11-12,343098,189485,150949,500.0,2164
542,2016-11-13,343731,189835,151228,500.0,2168
543,2016-11-14,344364,190185,151507,500.0,2172
544,2016-11-15,344997,190535,151786,500.0,2176
545,2016-11-16,345630,190885,152065,500.0,2180
546,2016-11-17,346263,191235,152344,500.0,2184
547,2016-11-18,346896,191585,152623,500.0,2188
548,2016-11-19,347529,191935,152902,500.0,2192
549,2016-11-20,348162,192285,153181,500.0,2196
550,2016-11-21,348795,192635,153460,500.0,2200
551,2016-11-22,349428,192985,153739,500.0,2204
552,2016-11-23,350061,193335,154018,500.0,2208
553,2016-11-24,350694,193685,154297,500.0,2212
554,2016-11-25,351327,194035,154576,500.0,2216
555,2016-11-26,351960,194385,154855,500.0,2220
556,2016-11-27,352593,194735,155134,500.0,2224
557,2016-11-28,353226,195085,155413,500.0,2228
558,2016-11-29,353859,195435,155692,500.0,2232
559,2016-11-30,354492,195785,155971,500.0,2236
560,2016-12-01,355125,196135,156250,500.0,2240
561,2016-12-02,355758,196485,156529,500.0,2244
562,2016-12-03,356391,196835,156808,500.0,2248
563,2016-12-04,357024,197185,157087,500.0,2252
564,2016-12-05,357657,197535,157366,500.0,2256
565,2016-12-06,358290,197885,157645,500.0,2260
566,2016-12-07,358923,198235,157924,500.0,2264
567,2016-12-08,359556,198585,158203,500.0,2268
568,2016-12-09,360189,198935,158482,500.0,2272
569,2016-12-10,360822,199285,158761,500.0,2276
570,2016-12-11,361455,199635,159040,500.0,2280
571,2016-12-12,362088,199985,159319,500.0,2284
572,2016-12-13,362721,200335,159598,500.0,2288
573,2016-12-14,363354,200685,159877,500.0,2292
574,2016-12-15,363987,201035,160156,500.0,2296
575,2016-12-16,364620,201385,160435,500.0,2300
576,2016-12-17,365253,201735,160714,500.0,2304
577,2016-12-18,365886,202085,160993,500.0,2308
578,2016-12-19,366519,202435,161272,500.0,2312
579,2016-12-20,367152,202785,161551,500.0,2316
580,2016-12-21,367785,203135,161830,500.0,2320
581,2016-12-22,368418,203485,162109,500.0,2324
582,2016-12-23,369051,203835,162388,500.0,2328
583,2016-12-24,369684,204185,162667,500.0,2332
584,2016-12-25,370317,204535,162946,500.0,2336
585,2016-12-26,370950,204885,163225,500.0,2340
